Depth	Temperature	Conductivity
0.7084	27.8659	159.853
0.682	28.5977	159.6997
0.9496	28.6341	159.8653
0.9022	28.6219	159.8101
1.0087	28.6272	159.8443
1.0624	28.6213	159.8662
1.0182	28.6088	159.9946
1.0068	28.6029	159.8836
0.966	28.6156	160.1215
0.8313	28.6473	160.0189
0.8948	28.6453	159.9808
0.8006	28.6604	160.0003
0.8326	28.6888	159.9538
0.8479	28.7035	160.0312
0.8225	28.7008	159.9739
0.8629	28.6958	159.8782
0.8992	28.7021	159.9058
0.9042	28.7101	159.9784
0.9433	28.6877	159.8215
0.9031	28.6665	159.8449
0.9843	28.5868	159.6988
0.9393	28.6239	159.552
1.2198	28.5634	159.5343
2.3157	28.5085	159.5337
3.7352	28.4902	159.5178
5.2547	28.4825	159.5091
6.6245	28.4769	159.5145
8.2399	28.4747	159.4875
9.9199	28.4732	159.4911
11.2307	28.4688	159.4992
12.3414	28.4695	159.5007
13.6634	28.4688	159.4971
14.6205	28.4652	159.4689
15.7937	28.4682	159.489
16.9439	28.4668	159.4965
17.8996	28.4625	159.498
18.9851	28.4645	159.4965
20.2639	28.4679	159.4953
21.5088	28.4661	159.4992
22.7243	28.4672	159.5055
23.9247	28.4665	159.504
25.0234	28.4665	159.5058
26.2572	28.4663	159.5073
27.089	28.4682	159.5013
28.4927	28.4672	159.5019
29.5936	28.4664	159.5049
30.8805	28.4681	159.498
31.9769	28.4673	159.4917
33.1081	28.4685	159.5142
34.3855	28.467	159.5088
35.3231	28.4654	159.5208
36.7357	28.4653	159.5007
38.1884	28.4663	159.5013
39.5096	28.4683	159.5076
40.3608	28.4658	159.5223
41.3325	28.4688	159.5157
41.9882	28.4654	159.5076
42.8427	28.4671	159.4905
43.8504	28.4677	159.5217
44.8182	28.4661	159.5184
45.3195	28.4654	159.5061
45.9988	28.4675	159.5319
46.6635	28.4675	159.507
47.4973	28.4666	159.5064
47.5493	28.4677	159.5196
48.0853	28.4693	159.522
48.7158	28.4672	159.5452
49.7809	28.4665	159.5286
50.7878	28.4695	159.5403
52.092	28.4688	159.5277
53.1415	28.4688	159.5373
53.8875	28.4699	159.5385
54.8945	28.4693	159.5385
56.0974	28.4693	159.5418
57.1023	28.4711	159.5463
58.1365	28.47	159.5461
58.9206	28.4701	159.5349
58.9536	28.4727	159.547
59.9251	28.4705	159.5283
60.8409	28.471	159.5538
62.0221	28.4722	159.5674
62.4707	28.4712	159.5562
63.6581	28.4713	159.5661
64.7265	28.4726	159.5611
65.8427	28.474	159.5163
66.9903	28.473	159.5058
68.3308	28.4742	159.562
68.4693	28.4702	159.5385
68.8681	28.4676	159.5676
69.582	28.4715	159.5656
69.7894	28.4705	159.576
70.4091	28.4734	159.5706
71.8679	28.4746	159.5775
73.2882	28.4735	159.5838
74.1558	28.4746	159.5892
75.6654	28.4755	159.5934
77.1238	28.4761	159.5928
78.696	28.4757	159.597
80.0067	28.4755	159.5986
81.1262	28.4766	159.604
82.3549	28.4767	159.61
83.6771	28.4772	159.6046
85.1388	28.4775	159.6037
86.4534	28.4779	159.6133
87.9542	28.4785	159.6121
89.0232	28.4778	159.6004
88.8298	28.4804	159.6096
90.6481	28.48	159.6163
91.443	28.4789	159.616
92.3624	28.4774	159.604
93.2359	28.4779	159.6157
93.593	28.481	159.621
94.6635	28.4803	159.6205
95.8314	28.4799	159.6199
97.0517	28.4795	159.5959
98.1704	28.4792	159.5845
98.9486	28.4795	159.5791
98.7884	28.4784	159.5616
98.7419	28.4777	159.5757
98.8319	28.4779	159.5809
98.8567	28.4776	159.5889
98.7841	28.478	159.5842
98.8685	28.4764	159.567
98.8107	28.4779	159.5484
98.7215	28.474	159.5097
98.7533	28.4765	159.5313
98.8	28.4741	159.525
98.8603	28.4744	159.5466
98.7137	28.472	159.577
98.686	28.4742	159.5694
98.6217	28.4744	159.5706
98.708	28.4767	159.5421
98.789	28.476	159.6219
98.6931	28.473	159.6142
98.7732	28.4736	159.631
98.9911	28.4783	159.6232
99.7539	28.4778	159.6286
100.7695	28.4786	159.6409
101.7897	28.479	159.6373
102.6817	28.4786	159.6427
103.9015	28.4788	159.6556
104.9559	28.4791	159.6796
106.0571	28.4782	159.7063
107.4986	28.4746	159.7126
108.6048	28.4738	159.724
109.7261	28.4653	159.7351
110.7972	28.458	159.7327
111.989	28.445	159.4998
112.6822	28.4407	159.3735
113.667	28.4257	159.3747
114.6997	28.3793	159.3495
115.8705	28.3671	159.3426
115.7004	28.366	159.1731
116.0323	28.3636	159.0891
116.6992	28.3432	159.0675
117.7976	28.3181	159.0384
118.5603	28.3009	159.0387
119.423	28.296	159.0255
120.3999	28.2916	159.0327
121.3067	28.2892	159.1086
122.0794	28.2856	159.063
123.0992	28.2808	159.1284
124.0437	28.2764	159.2025
124.8365	28.2734	159.2037
125.7918	28.2718	159.264
126.5174	28.2703	159.3138
126.6995	28.2697	159.435
127.7132	28.2691	159.9157
128.8221	28.2688	160.0414
129.9525	28.2638	160.1407
131.0239	28.2595	160.1566
131.9652	28.2582	160.2355
133.1152	28.258	160.2773
133.0442	28.2565	160.3928
133.7309	28.2553	160.4489
134.3992	28.2529	160.4633
135.6012	28.25	160.5161
136.4519	28.2493	160.4426
137.679	28.2485	160.4669
138.8308	28.247	160.4642
139.9715	28.2465	160.4675
141.1366	28.2457	160.4675
142.065	28.2457	160.4795
142.7952	28.2459	160.4834
143.7739	28.2464	160.4903
145.022	28.2471	160.4795
146.2075	28.2469	160.4798
147.4029	28.2478	160.4837
147.5452	28.247	160.4771
147.6042	28.2467	160.466
147.5741	28.2463	160.4753
147.5744	28.2457	160.4741
147.5652	28.2449	160.4774
